Robots,Repetition,WallTime(s),CPU(%),MaxMem(kB),ArgosCPU(%),Ros2CPU(%),ArgosMem(kB),Ros2Mem(kB)
10,1,18.89,40,114584,34,6,77568,37016
10,2,18.94,41,113776,35,6,76992,36784
10,3,18.88,40,114600,34,6,77760,36840
10,4,18.85,40,114952,34,6,77760,37192
10,5,18.93,40,113820,34,6,77184,36636
10,6,18.80,40,114760,34,6,77568,37192
10,7,18.90,40,114212,34,6,76992,37220
10,8,18.84,40,113800,34,6,77184,36616
10,9,18.87,40,114220,34,6,77376,36844
10,10,18.92,41,114544,35,6,77376,37168
20,1,35.97,49,129748,39,10,92736,37012
20,2,35.91,49,129692,39,10,92352,37340
20,3,35.90,49,129900,39,10,92736,37164
20,4,35.87,48,129580,38,10,92352,37228
20,5,36.03,49,129716,39,10,92352,37364
20,6,36.05,49,129356,39,10,92160,37196
20,7,35.86,49,130112,39,10,92544,37568
20,8,35.74,48,130120,38,10,92928,37192
20,9,35.74,48,129564,38,10,92736,36828
20,10,35.77,48,129516,38,10,92160,37356
40,1,70.36,66,184836,44,22,146880,37956
40,2,70.34,65,185612,43,22,147264,38348
40,3,70.26,67,185452,44,23,147456,37996
40,4,70.31,65,185664,43,22,148032,37632
40,5,70.38,66,184648,44,22,146688,37960
40,6,70.73,66,185280,44,22,147264,38016
40,7,70.45,66,186204,44,22,148032,38172
40,8,70.47,66,185796,44,22,147648,38148
40,9,70.69,66,184704,44,22,147072,37632
40,10,70.48,66,185604,44,22,147648,37956
80,1,140.86,84,270432,49,35,230552,39880
80,2,142.29,85,267016,49,36,228808,38208
80,3,141.22,84,269384,49,35,230024,39360
80,4,140.41,83,268088,48,35,228536,39552
80,5,140.53,82,269132,48,34,229440,39692
80,6,140.61,82,268564,48,34,229056,39508
80,7,140.57,82,268648,48,34,229096,39552
80,8,140.40,82,268416,48,34,229248,39168
80,9,140.31,82,270020,48,34,230704,39316
80,10,140.91,82,268892,48,34,229188,39704
320,1,677.81,179,875492,69,110,824088,51404
320,2,670.45,171,876472,68,103,824896,51576
320,3,666.91,170,873592,67,103,821848,51744
320,4,667.37,170,865780,67,103,813860,51920
320,5,667.98,172,878776,68,104,827628,51148
320,6,668.24,171,873448,68,103,821124,52324
320,7,667.90,172,864688,68,104,812884,51804
320,8,664.77,169,877400,67,102,825652,51748
320,9,666.06,169,870752,67,102,818760,51992
320,10,665.06,169,874312,67,102,822852,51460
640,1,1762.30,317,1729852,92,225,1660880,68972
640,2,1763.16,316,1709996,91,225,1641244,68752
640,3,1761.92,313,1663340,90,223,1593912,69428
640,4,1762.35,309,1670780,90,219,1601464,69316
640,5,1774.62,312,1670444,90,222,1601376,69068
640,6,1778.95,311,1689768,90,221,1619612,70156
640,7,1775.95,310,1666168,90,220,1597024,69144
640,8,1760.69,314,1677956,91,223,1608860,69096
640,9,1772.46,311,1685340,90,221,1616256,69084
640,10,1769.97,312,1682296,91,221,1613316,68980
1280,1,6134.36,657,3253172,134,523,3145184,107988
1280,2,6091.64,649,3281072,133,516,3173272,107800
1280,3,6007.09,657,3388460,135,522,3231736,156724
1280,4,6089.26,654,3311492,134,520,3203904,107588
1280,5,6073.64,645,3287648,133,512,3179388,108260
1280,6,6066.64,650,3275552,134,516,3167340,108212
1280,7,6115.43,659,3268372,134,525,3160216,108156
1280,8,6100.19,647,3279732,133,514,3172692,107040
1280,9,6163.52,666,3257400,135,531,3149188,108212
1280,10,6105.80,658,3259756,134,524,3151552,108204
