Robots,Repetition,WallTime(s),CPU(%),MaxMem(kB),ArgosCPU(%),Ros2CPU(%),ArgosMem(kB),Ros2Mem(kB)
10,1,13.74,80,115060,71,9,78336,36724
10,2,13.75,81,114916,72,9,77760,37156
10,3,13.75,80,116112,71,9,78720,37392
10,4,13.74,81,115528,72,9,77952,37576
10,5,13.74,80,114628,71,9,77760,36868
10,6,13.78,81,114888,72,9,77952,36936
10,7,13.72,80,115472,71,9,78336,37136
10,8,13.74,80,115912,71,9,78528,37384
10,9,13.75,81,114760,72,9,78144,36616
10,10,13.72,80,115352,71,9,78144,37208
20,1,25.21,92,130888,78,14,93696,37192
20,2,25.17,93,130792,79,14,93696,37096
20,3,25.21,93,129912,79,14,93312,36600
20,4,25.27,93,131304,79,14,93888,37416
20,5,25.27,92,131172,78,14,93888,37284
20,6,25.26,93,130960,78,15,94080,36880
20,7,25.17,92,131164,78,14,93696,37468
20,8,25.26,93,131168,78,15,94272,36896
20,9,25.25,92,130684,78,14,93696,36988
20,10,25.22,93,130660,79,14,93504,37156
40,1,49.26,114,180104,86,28,142272,37832
40,2,49.39,115,188168,86,29,150664,37504
40,3,49.30,114,188644,85,29,150476,38168
40,4,49.04,121,186176,89,32,148576,37600
40,5,49.60,115,188108,85,30,150400,37708
40,6,49.12,115,186524,86,29,148848,37676
40,7,49.35,114,188300,85,29,150528,37772
40,8,49.32,115,187876,86,29,150088,37788
40,9,48.99,115,186264,86,29,148224,38040
40,10,51.32,113,187360,84,29,150112,37248
80,1,115.42,122,280108,80,42,241228,38880
80,2,101.83,133,280656,90,43,242536,38120
80,3,108.01,128,282324,86,42,244204,38120
80,4,98.36,138,279960,93,45,241780,38180
80,5,107.05,130,281708,88,42,243156,38552
80,6,98.35,136,282024,93,43,242384,39640
80,7,100.46,134,281864,91,43,242304,39560
80,8,98.47,137,280956,93,44,242100,38856
80,9,100.59,135,281704,92,43,242704,39000
80,10,100.58,138,281912,93,45,242484,39428
160,1,236.81,152,491408,90,62,447696,43712
160,2,236.38,155,490060,91,64,446324,43736
160,3,235.91,154,490768,91,63,446104,44664
160,4,240.94,151,490416,89,62,446660,43756
160,5,239.39,151,490740,89,62,446808,43932
160,6,215.15,166,493512,99,67,449644,43868
160,7,224.59,160,491212,95,65,447700,43512
160,8,222.98,162,492416,96,66,448700,43716
160,9,208.81,168,496252,101,67,452712,43540
160,10,218.05,163,494012,97,66,448944,45068
320,1,457.90,219,887440,119,100,836168,51272
320,2,499.11,205,880704,109,96,829824,50880
320,3,482.21,210,886496,113,97,834832,51664
320,4,438.01,224,889776,123,101,837432,52344
320,5,438.29,224,859020,122,102,807672,51348
320,6,454.19,220,891488,119,101,839464,52024
320,7,476.33,215,888392,115,100,836436,51956
320,8,505.71,205,879156,108,97,827832,51324
320,9,455.10,219,890396,119,100,839424,50972
320,10,470.75,215,890276,115,100,838872,51404
640,1,1012.35,365,1669332,174,191,1600780,68552
640,2,1015.01,364,1663128,174,190,1593672,69456
640,3,1017.23,363,1670876,173,190,1601272,69604
640,4,1015.15,364,1665852,174,190,1597192,68660
640,5,1039.52,356,1666360,169,187,1596496,69864
640,6,991.64,368,1670176,177,191,1600820,69356
640,7,1041.24,358,1664656,169,189,1594712,69944
640,8,1026.61,361,1661920,171,190,1592748,69172
640,9,1030.42,360,1668596,171,189,1599208,69388
640,10,1037.60,359,1656512,170,189,1586276,70236
1280,1,2606.37,698,3262260,280,418,3155272,106988
1280,2,2590.05,706,3273656,283,423,3165812,107844
1280,3,2600.24,705,3269152,282,423,3160892,108260
1280,4,2593.41,701,3276724,281,420,3169048,107676
1280,5,2594.38,707,3293092,284,423,3185504,107588
1280,6,2570.48,715,3292864,286,429,3185012,107852
1280,7,2608.99,705,3288108,282,423,3180400,107708
1280,8,2584.21,709,3302796,284,425,3194504,108292
1280,9,2604.92,692,3271424,279,413,3163832,107592
1280,10,2596.24,703,3282936,281,422,3175176,107760
