Robots,Repetition,WallTime(s),CPU(%),MaxMem(kB),ArgosCPU(%),Ros2CPU(%),ArgosMem(kB),Ros2Mem(kB)
10,1,11.70,8,81408,2,6,44736,36672
10,2,11.68,9,82144,3,6,45504,36640
10,3,11.71,10,81984,3,7,45312,36672
10,4,11.70,9,81792,3,6,45120,36672
10,5,11.69,8,82288,2,6,45504,36784
10,6,11.70,10,81600,3,7,44928,36672
10,7,11.70,9,82340,3,6,45120,37220
10,8,11.71,10,81764,3,7,44352,37412
10,9,11.68,9,82368,3,6,45504,36864
10,10,11.69,9,81712,3,6,45312,36400
20,1,22.38,14,95336,4,10,58560,36776
20,2,22.38,14,95808,4,10,58368,37440
20,3,22.38,14,95376,4,10,58368,37008
20,4,22.36,15,94628,4,11,57984,36644
20,5,22.36,14,95808,4,10,58560,37248
20,6,22.37,15,95424,4,11,58368,37056
20,7,22.34,15,95808,4,11,58560,37248
20,8,22.36,14,96000,4,10,58560,37440
20,9,22.38,15,95920,4,11,58752,37168
20,10,22.35,14,95616,4,10,59136,36480
40,1,43.80,32,144116,8,24,106560,37556
40,2,43.78,32,143232,8,24,106752,36480
40,3,43.82,33,144192,9,24,106560,37632
40,4,43.83,35,144576,9,26,107136,37440
40,5,43.79,32,142464,8,24,105792,36672
40,6,43.78,32,143220,8,24,106560,36660
40,7,43.81,32,143348,8,24,105600,37748
40,8,43.80,33,144000,9,24,107136,36864
40,9,43.77,31,144384,8,23,107136,37248
40,10,43.84,34,144132,9,25,106944,37188
80,1,86.67,45,219848,11,34,181160,38688
80,2,86.65,44,218660,11,33,180528,38132
80,3,86.70,45,220540,11,34,181372,39168
80,4,86.69,47,219836,11,36,181496,38340
80,5,86.57,43,218828,10,33,179752,39076
80,6,86.69,48,219000,12,36,180792,38208
80,7,86.59,43,218496,10,33,180288,38208
80,8,86.63,43,220220,10,33,181628,38592
80,9,86.67,45,218696,11,34,180680,38016
80,10,86.68,44,219604,10,34,180700,38904
160,1,172.58,65,393012,13,52,350580,42432
160,2,172.72,66,395168,14,52,351488,43680
160,3,172.56,65,393856,13,52,351124,42732
160,4,172.66,66,394668,14,52,351468,43200
160,5,172.66,66,394668,14,52,351276,43392
160,6,172.58,66,395912,14,52,352904,43008
160,7,172.62,66,394392,14,52,351384,43008
160,8,172.69,67,396008,14,53,352424,43584
160,9,172.50,63,396296,13,50,352604,43692
160,10,172.63,67,395004,14,53,351452,43552
320,1,344.23,94,727084,18,76,676020,51064
320,2,344.22,94,727204,18,76,676552,50652
320,3,344.26,94,729600,18,76,679040,50560
320,4,344.20,93,728120,18,75,677872,50248
320,5,344.31,93,724512,18,75,674544,49968
320,6,344.63,97,741164,19,78,690564,50600
320,7,344.46,94,725656,18,76,675472,50184
320,8,344.48,93,724800,18,75,673848,50952
320,9,344.50,95,730636,19,76,680072,50564
320,10,344.72,96,727684,19,77,676856,50828
640,1,693.13,158,1418164,28,130,1350524,67640
640,2,692.91,159,1426072,29,130,1358760,67312
640,3,692.42,159,1424832,28,131,1357616,67216
640,4,692.27,158,1432012,28,130,1364312,67700
640,5,693.36,160,1437696,29,131,1370068,67628
640,6,692.35,160,1424052,28,132,1356784,67268
640,7,692.68,157,1420356,28,129,1353236,67120
640,8,692.74,157,1416052,28,129,1348196,67856
640,9,693.14,158,1419760,28,130,1353104,66656
640,10,692.36,158,1426120,28,130,1359288,66832
1280,1,1414.55,319,2787552,50,269,2684360,103192
1280,2,1415.73,318,2849220,50,268,2745364,103856
1280,3,1415.67,320,2838588,51,269,2734424,104164
1280,4,1416.12,319,2857224,51,268,2752960,104264
1280,5,1413.86,320,2816804,50,270,2712760,104044
1280,6,1416.52,325,2833216,51,274,2729244,103972
1280,7,1415.05,320,2815980,50,270,2712016,103964
1280,8,1413.78,321,2800560,50,271,2696728,103832
1280,9,1413.16,325,2802428,50,275,2698292,104136
1280,10,1413.83,324,2825448,51,273,2722124,103324
